metric,human,spearman
rouge1_lead,faithfulness_lead,
rouge1_lead,faithfulness_model,
rouge1_lead,coverage_lead,
rouge1_lead,coverage_model,
rouge1_model,faithfulness_lead,
rouge1_model,faithfulness_model,
rouge1_model,coverage_lead,
rouge1_model,coverage_model,
rougeL_lead,faithfulness_lead,
rougeL_lead,faithfulness_model,
rougeL_lead,coverage_lead,
rougeL_lead,coverage_model,
rougeL_model,faithfulness_lead,
rougeL_model,faithfulness_model,
rougeL_model,coverage_lead,
rougeL_model,coverage_model,
bert_lead,faithfulness_lead,
bert_lead,faithfulness_model,
bert_lead,coverage_lead,
bert_lead,coverage_model,
bert_model,faithfulness_lead,
bert_model,faithfulness_model,
bert_model,coverage_lead,
bert_model,coverage_model,
