id,lead_len,rouge1_lead,rouge2_lead,rougeL_lead,bert_lead,model_len,rouge1_model,rouge2_model,rougeL_model,bert_model
34363226,21,0.13636363636363635,0.0,0.0909090909090909,0.854080319404602,198,0.11206896551724138,0.008695652173913045,0.06896551724137931,0.8312187790870667
36914724,25,0.05405405405405406,0.0,0.05405405405405406,0.8642095327377319,167,0.05181347150259067,0.010471204188481676,0.05181347150259067,0.840148389339447
40855910,24,0.11320754716981132,0.0,0.11320754716981132,0.8671026825904846,191,0.1276595744680851,0.02575107296137339,0.06808510638297872,0.8449020981788635
32736400,13,0.06451612903225808,0.0,0.06451612903225808,0.8422436118125916,198,0.08583690987124463,0.008658008658008658,0.051502145922746774,0.8365034461021423
40648389,20,0.2162162162162162,0.0,0.2162162162162162,0.8496630787849426,59,0.22499999999999998,0.02564102564102564,0.125,0.8443686366081238
39258636,29,0.11764705882352941,0.0,0.11764705882352941,0.8136422038078308,191,0.09606986899563319,0.008810572687224669,0.0611353711790393,0.838347852230072
38839837,21,0.11999999999999998,0.0,0.08,0.8473877310752869,201,0.075,0.0,0.058333333333333334,0.8224642872810364
32136921,24,0.19512195121951217,0.0,0.14634146341463414,0.8513129949569702,192,0.09009009009009009,0.0,0.06306306306306307,0.8377940654754639
35523296,10,0.15,0.0,0.15,0.8438212275505066,51,0.19047619047619047,0.0,0.11904761904761904,0.8420486450195312
32612168,19,0.2790697674418604,0.0,0.18604651162790697,0.8698447942733765,194,0.12987012987012986,0.0611353711790393,0.11255411255411256,0.8524535894393921
33638005,15,0.09302325581395349,0.0,0.09302325581395349,0.8434544205665588,196,0.11864406779661017,0.02564102564102564,0.09322033898305085,0.8364511728286743
39654348,23,0.16666666666666666,0.0,0.125,0.8431939482688904,187,0.13513513513513511,0.03636363636363636,0.0990990990990991,0.8519393801689148
39950399,21,0.19047619047619047,0.0,0.14285714285714285,0.8719732165336609,187,0.1181818181818182,0.009174311926605507,0.06363636363636364,0.8363417983055115
16222940,21,0.3684210526315789,0.0,0.2631578947368421,0.8611539602279663,199,0.10344827586206895,0.034782608695652174,0.06896551724137931,0.8404033184051514
38389507,18,0.16666666666666666,0.0,0.125,0.8333533406257629,180,0.14349775784753363,0.03619909502262443,0.08071748878923767,0.8212704062461853
30346384,17,0.15,0.0,0.09999999999999999,0.8507623672485352,202,0.07531380753138074,0.008438818565400845,0.058577405857740586,0.8289811611175537
35436910,23,0.05263157894736842,0.0,0.05263157894736842,0.8433919548988342,96,0.12173913043478261,0.035398230088495575,0.06956521739130436,0.8470056056976318
29021180,18,0.17647058823529413,0.0,0.11764705882352941,0.8567037582397461,62,0.14457831325301204,0.0,0.07228915662650602,0.8459671139717102
32713124,28,0.1875,0.03225806451612903,0.125,0.8574649691581726,213,0.13793103448275865,0.023166023166023165,0.07662835249042146,0.8253234028816223
36684452,28,0.22727272727272727,0.09523809523809523,0.22727272727272727,0.8817074298858643,167,0.11518324607329844,0.021164021164021163,0.06282722513089006,0.8555509448051453
34718944,25,0.08695652173913043,0.0,0.08695652173913043,0.8164362907409668,203,0.06694560669456068,0.008438818565400843,0.041841004184100423,0.8282172083854675
29455992,13,0.060606060606060615,0.0,0.060606060606060615,0.8551678657531738,178,0.15384615384615383,0.05825242718446603,0.09615384615384615,0.8507531881332397
34152489,16,0.25,0.0,0.2,0.8653010725975037,205,0.14225941422594143,0.016877637130801686,0.10041841004184099,0.8535152673721313
37805331,30,0.3859649122807018,0.0,0.21052631578947367,0.8841908574104309,194,0.15450643776824036,0.03463203463203463,0.10300429184549356,0.8522306680679321
36189022,21,0.16326530612244897,0.0,0.12244897959183672,0.8602809906005859,191,0.1810344827586207,0.05217391304347825,0.11206896551724137,0.860880434513092
35761011,22,0.17391304347826086,0.0909090909090909,0.13043478260869565,0.8456479907035828,192,0.14159292035398233,0.053571428571428575,0.07964601769911506,0.8492395877838135
39632041,28,0.14285714285714285,0.0,0.14285714285714285,0.8498234748840332,200,0.08,0.008968609865470852,0.07111111111111111,0.8313647508621216
29252950,24,0.2545454545454545,0.03773584905660378,0.1818181818181818,0.8533793687820435,187,0.19008264462809918,0.06666666666666667,0.12396694214876033,0.8549957871437073
40615948,11,0.10256410256410255,0.0,0.10256410256410255,0.8465461134910583,206,0.15447154471544716,0.024590163934426233,0.08943089430894309,0.8459856510162354
36226983,25,0.15384615384615383,0.0,0.10256410256410256,0.8393863439559937,97,0.10169491525423728,0.0,0.06779661016949154,0.8374163508415222
37641671,30,0.12765957446808512,0.0,0.0851063829787234,0.8532915115356445,176,0.07804878048780486,0.009852216748768473,0.048780487804878044,0.8348321914672852
20738732,22,0.08695652173913043,0.0,0.08695652173913043,0.8621377348899841,205,0.12605042016806722,0.02542372881355932,0.09243697478991597,0.8466478586196899
37782718,25,0.23529411764705882,0.04081632653061224,0.1568627450980392,0.8600360751152039,186,0.15111111111111114,0.017937219730941704,0.0888888888888889,0.8389921188354492
35659406,22,0.12,0.04166666666666667,0.12,0.8674972653388977,185,0.14718614718614717,0.03493449781659389,0.12121212121212122,0.8532428741455078
39378077,20,0.25,0.0,0.2,0.8739243149757385,186,0.08181818181818182,0.0,0.07272727272727272,0.8228499889373779
30481848,24,0.24489795918367346,0.0425531914893617,0.20408163265306123,0.8758952617645264,182,0.1272727272727273,0.04587155963302752,0.1181818181818182,0.8450042009353638
38384761,20,0.15,0.0,0.10000000000000002,0.8593191504478455,201,0.08583690987124463,0.008658008658008658,0.04291845493562232,0.837023138999939
38983472,21,0.05,0.0,0.05,0.8543939590454102,187,0.08071748878923767,0.01809954751131222,0.06278026905829596,0.8454493284225464
38513663,14,0.05555555555555555,0.0,0.05555555555555555,0.8444666862487793,201,0.08368200836820085,0.0,0.05020920502092051,0.8359387516975403
36163760,11,0.12903225806451613,0.0,0.12903225806451613,0.8707983493804932,193,0.10389610389610389,0.026200873362445413,0.06060606060606061,0.840740978717804
27786442,29,0.16666666666666669,0.0,0.16666666666666669,0.8539208769798279,203,0.09523809523809525,0.04366812227074236,0.08658008658008658,0.8443437814712524
39586912,16,0.15384615384615385,0.0,0.09230769230769231,0.8486461043357849,191,0.17741935483870966,0.016260162601626015,0.11290322580645162,0.8326645493507385
33551522,20,0.12244897959183673,0.0,0.12244897959183673,0.8449135422706604,185,0.1233480176211454,0.035555555555555556,0.07048458149779736,0.8403205275535583
36046373,17,0.06060606060606061,0.0,0.06060606060606061,0.8693807125091553,83,0.13333333333333333,0.019417475728155338,0.11428571428571428,0.8604203462600708
32288286,10,0.07692307692307691,0.0,0.07692307692307691,0.8651288151741028,182,0.05741626794258373,0.0,0.028708133971291867,0.8227425217628479
33450881,12,0.22857142857142854,0.060606060606060615,0.1714285714285714,0.8508164286613464,174,0.09345794392523364,0.018867924528301886,0.06542056074766354,0.8265068531036377
38672009,21,0.25641025641025644,0.0,0.10256410256410256,0.8723149299621582,201,0.11304347826086956,0.0,0.06086956521739131,0.8458676934242249
18325815,17,0.2162162162162162,0.0,0.16216216216216214,0.8701087236404419,194,0.11255411255411255,0.008733624454148473,0.06926406926406926,0.8497791886329651
37238733,19,0.09999999999999999,0.0,0.09999999999999999,0.8470275402069092,68,0.10638297872340426,0.02173913043478261,0.06382978723404256,0.8407855033874512
22984678,30,0.19999999999999998,0.041666666666666664,0.12000000000000001,0.8588980436325073,204,0.11063829787234043,0.04291845493562232,0.06808510638297871,0.8436983227729797
